"","NOC691","V1","V2","V3","V4"
"399","7533 Boat and cable ferry operators and related occupations",2720,0,0,0
"400","7534 Air transport ramp attendants",10260,0,0,0
"401","7535 Other automotive mechanical installers and servicers",17970,0,0,0
"402","7611 Construction trades helpers and labourers",201205,0,0,0
"403","7612 Other trades helpers and labourers",10340,0,0,0
"404","7621 Public works and maintenance labourers",33860,0,0,0
"405","7622 Railway and motor transport labourers",5190,0,0,0
"406","8211 Supervisors, logging and forestry",4575,0,0,0
"407","8221 Supervisors, mining and quarrying",6990,0,0,0
"408","8222 Contractors and supervisors, oil and gas drilling and services",14975,0,0,0
"409","8231 Underground production and development miners",16325,0,0,0
"410","8232 Oil and gas well drillers, servicers, testers and related workers",11755,0,0,0
"411","8241 Logging machinery operators",8605,0,0,0
"412","8252 Agricultural service contractors, farm supervisors and specialized livestock workers",10125,0,0,0
"413","8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",20985,0,0,0
"414","8261 Fishing masters and officers",2955,0,0,0
"415","8262 Fishermen/women",22055,0,0,0
"416","8411 Underground mine service and support workers",3265,0,0,0
"417","8412 Oil and gas well drilling and related workers and services operators",8885,0,0,0
"418","8421 Chain saw and skidder operators",8370,0,0,0
"419","8422 Silviculture and forestry workers",8155,0,0,0
"420","8431 General farm workers",101050,0,0,0
"421","8432 Nursery and greenhouse workers",16300,0,0,0
"422","8441 Fishing vessel deckhands",6465,0,0,0
"423","8442 Trappers and hunters",690,0,0,0
"424","8611 Harvesting labourers",7905,0,0,0
"425","8612 Landscaping and grounds maintenance labourers",118405,0,0,0
"426","8613 Aquaculture and marine harvest labourers",2380,0,0,0
"427","8614 Mine labourers",3705,0,0,0
"428","8615 Oil and gas drilling, servicing and related labourers",10790,0,0,0
"429","8616 Logging and forestry labourers",6995,0,0,0
"430","9211 Supervisors, mineral and metal processing",8090,0,0,0
"431","9212 Supervisors, petroleum, gas and chemical processing and utilities",14920,0,0,0
"432","9213 Supervisors, food and beverage processing",13435,0,0,0
"433","9214 Supervisors, plastic and rubber products manufacturing",5540,0,0,0
"434","9215 Supervisors, forest products processing",6690,0,0,0
"435","9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",1950,0,0,0
"436","9221 Supervisors, motor vehicle assembling",8115,0,0,0
"437","9222 Supervisors, electronics manufacturing",1755,0,0,0
"438","9223 Supervisors, electrical products manufacturing",1320,0,0,0
"439","9224 Supervisors, furniture and fixtures manufacturing",2890,0,0,0
"440","9226 Supervisors, other mechanical and metal products manufacturing",4035,0,0,0
"441","9227 Supervisors, other products manufacturing and assembly",3885,0,0,0
"442","9231 Central control and process operators, mineral and metal processing",2140,0,0,0
"443","9232 Central control and process operators, petroleum, gas and chemical processing",18980,0,0,0
